Date,Open,High,Low,Close,Adj Close,Volume,DMA,Signal,Buy_signal,Sell_signal
2019-01-19,3652.37793,3758.533447,3652.37793,3728.568359,3728.568359,5955691380,-61.605974857956426,-54.00538610274526,,
2019-01-20,3725.446045,3743.387939,3583.019531,3601.013672,3601.013672,5582489560,-66.5886517891081,-56.52203924001783,,
2019-01-21,3600.372803,3608.84082,3558.537109,3576.032471,3576.032471,5004347059,-71.72641582588994,-59.56291455719226,,
2019-01-22,3575.081299,3620.746582,3539.721436,3604.577148,3604.577148,5313623556,-72.65726622706234,-62.181784891166274,,
2019-01-23,3605.557129,3623.067871,3565.313965,3585.123047,3585.123047,5433755649,-74.1104560373592,-64.56751912040487,,
2019-01-24,3584.500244,3616.087402,3569.092773,3600.865479,3600.865479,5262869046,-73.14862491964459,-66.28374028025281,,
2019-01-25,3607.390381,3612.927734,3575.597412,3599.765869,3599.765869,5265847539,-71.64916914457262,-67.35682605311678,,
2019-01-26,3599.715332,3654.933105,3593.345947,3602.460449,3602.460449,5098183235,-69.44291485761232,-67.77404381401588,,
2019-01-27,3604.687256,3612.671387,3567.24585,3583.96582,3583.96582,5570752966,-68.39835082244281,-67.89890521570126,,
2019-01-28,3584.283203,3586.750977,3439.23291,3470.450439,3470.450439,6908930483,-75.85584983964691,-69.49029414049039,,
2019-01-29,3468.870117,3476.06543,3400.819824,3448.116943,3448.116943,5897159493,-82.61575502019559,-72.11538631643144,,
2019-01-30,3443.896973,3495.174805,3429.387939,3486.181641,3486.181641,5955112627,-83.93398681669123,-74.4791064164834,,
2019-01-31,3485.40918,3504.804932,3447.915771,3457.792725,3457.792725,5831198271,-86.27491970777282,-76.83826907474129,,
2019-02-01,3460.547119,3501.954102,3431.591553,3487.945313,3487.945313,5422926707,-84.72045931522644,-78.41470712283832,,
2019-02-02,3484.625977,3523.287354,3467.574707,3521.060791,3521.060791,5071623601,-79.89541136875596,-78.71084797202185,,
2019-02-03,3516.139648,3521.388184,3447.924316,3464.013428,3464.013428,5043937584,-79.75540092216261,-78.91975856205,,
2019-02-04,3467.21167,3476.223877,3442.586914,3459.154053,3459.154053,5332718886,-79.12445512016302,-78.96069787367261,,
2019-02-05,3454.950928,3478.148193,3451.937012,3466.357422,3466.357422,5227549545,-77.15379344486246,-78.59931698791058,3466.357422,
2019-02-06,3469.091797,3469.091797,3398.56543,3413.767822,3413.767822,5482196038,-78.92576400187863,-78.6646063907042,,3413.767822
2019-02-07,3414.929443,3427.945557,3394.218506,3399.47168,3399.47168,5004962683,-80.55505409638636,-79.04269593184063,,
2019-02-08,3401.376465,3695.614014,3391.023682,3666.780273,3666.780273,7735623101,-59.589794710642764,-75.15211568760105,3666.780273,
2019-02-09,3671.585938,3679.941406,3646.559326,3671.203613,3671.203613,6158833645,-42.13207667667666,-68.54810788541617,,
2019-02-10,3673.201416,3695.036133,3640.97998,3690.188232,3690.188232,6282256903,-26.45979719506022,-60.130445747344986,,
2019-02-11,3695.613037,3695.613037,3642.287842,3648.430664,3648.430664,6277056434,-17.210497644562565,-51.546456126788506,,
2019-02-12,3642.751953,3668.586914,3618.556885,3653.528564,3653.528564,6480384532,-9.36109431987552,-43.109383765405916,,
2019-02-13,3653.604004,3669.746582,3617.246338,3632.070557,3632.070557,6438903823,-4.816347608853903,-35.45077653409552,,
2019-02-14,3631.170166,3646.256592,3607.697754,3616.880859,3616.880859,6271044418,-2.412475267069567,-28.843116280690328,,
2019-02-15,3617.368408,3647.795166,3608.206543,3620.810791,3620.810791,6091952231,-0.18810805607608927,-23.112114635767483,,
2019-02-16,3615.270264,3652.841309,3615.270264,3629.787598,3629.787598,5934744052,2.272872032948726,-18.03511730202424,,
2019-02-17,3633.359375,3680.537354,3619.182129,3673.836182,3673.836182,7039512503,7.6889358174216795,-12.890306678135058,,
2019-02-18,3671.369873,3936.665039,3669.982422,3915.714355,3915.714355,9908216640,31.139792345798924,-4.084286873348263,,
2019-02-19,3911.661621,4010.879395,3908.153076,3947.094482,3947.094482,9933626655,51.66135910340745,7.064842322002881,,
2019-02-20,3946.685059,4000.486328,3926.246826,3999.820557,3999.820557,8693373948,71.3568449208683,19.923242841775966,,
2019-02-21,4000.256836,4010.009521,3940.108154,3954.118164,3954.118164,7775128102,82.32882274456642,32.40435882233406,,
2019-02-22,3952.406494,4006.53833,3950.816406,4005.526611,4005.526611,7826525254,94.08784019909308,44.741055097685866,,
2019-02-23,3998.91626,4166.286133,3968.726807,4142.526855,4142.526855,8922258316,113.15731390621067,58.42430685939083,,
2019-02-24,4145.458008,4210.641602,3793.708984,3810.42749,3810.42749,10794227451,100.31598568351183,66.80264262421504,,
2019-02-25,3807.002441,3913.707275,3807.002441,3882.696289,3882.696289,9318796067,94.87694627617157,72.41750335460635,,
